date,site,parameter,value_mg_L,units,nitrate_3wk_avg
2025-01-01,Willow Creek,Nitrate-N (mg/L),3.529,mg/L,3.529
2025-01-08,Willow Creek,Nitrate-N (mg/L),3.708,mg/L,3.6185
2025-01-15,Willow Creek,Nitrate-N (mg/L),4.245,mg/L,3.8273333333333333
2025-01-22,Willow Creek,Nitrate-N (mg/L),4.623,mg/L,4.192
2025-01-29,Willow Creek,Nitrate-N (mg/L),4.148,mg/L,4.338666666666667
2025-02-05,Willow Creek,Nitrate-N (mg/L),3.4225,mg/L,4.0645
2025-02-12,Willow Creek,Nitrate-N (mg/L),2.697,mg/L,3.4225
2025-02-19,Willow Creek,Nitrate-N (mg/L),2.004,mg/L,2.7078333333333333
2025-02-26,Willow Creek,Nitrate-N (mg/L),2.018,mg/L,2.239666666666667
2025-03-05,Willow Creek,Nitrate-N (mg/L),2.535,mg/L,2.1856666666666666
2025-03-12,Willow Creek,Nitrate-N (mg/L),3.2795,mg/L,2.6108333333333333
2025-03-19,Willow Creek,Nitrate-N (mg/L),4.024,mg/L,3.2795
2025-03-26,Willow Creek,Nitrate-N (mg/L),4.179,mg/L,3.8275000000000006
2025-04-02,Willow Creek,Nitrate-N (mg/L),3.988,mg/L,4.063666666666667
2025-04-09,Willow Creek,Nitrate-N (mg/L),3.721,mg/L,3.9626666666666672
2025-04-16,Willow Creek,Nitrate-N (mg/L),3.1,mg/L,3.603
